payment_id,claim_id,payment_date,payment_amount
1,1,2024-12-18,1338.93
2,2,2025-04-18,558.98
3,3,2023-01-11,2324.49
4,4,2022-11-02,1011.81
5,5,2023-04-04,249.44
6,6,2024-06-15,864.79
7,7,2021-09-14,624.54
8,8,2023-06-15,740.65
9,9,2024-08-23,404.36
10,9,2024-09-08,728.82
11,10,2023-03-17,195.03
12,11,2021-08-26,538.65
13,12,2025-04-16,2010.58
14,13,2025-05-30,2.43
15,13,2025-06-15,842.05
16,14,2025-03-20,1355.77
17,14,2025-03-24,40.81
18,15,2025-09-06,165.53
19,15,2025-09-23,132.96
20,16,2025-08-17,289.19
21,18,2025-05-05,893.85
22,19,2024-09-03,310.22
23,19,2024-09-14,571.63
24,20,2024-10-06,157.31
25,20,2024-11-03,210.94
26,21,2024-01-30,2322.07
27,22,2023-05-04,864.24
28,23,2022-03-18,402.94
29,24,2021-02-23,823.67
30,25,2022-10-28,3454.87
31,26,2022-08-24,2703.25
32,27,2021-12-31,2040.45
33,28,2025-08-05,472.42
34,29,2025-05-20,155.08
35,29,2025-05-27,23.14
36,29,2025-05-31,199.11
37,30,2021-06-01,997.56
38,31,2025-05-20,1123.54
39,32,2021-02-12,754.93
40,33,2024-07-04,663.24
41,34,2025-02-26,1308.34
42,35,2022-09-21,1.46
43,35,2022-09-20,247.11
44,36,2025-04-10,221.32
45,36,2025-04-01,70.65
46,37,2024-04-04,98.22
47,37,2024-03-28,633.34
48,38,2021-11-03,273.31
49,39,2025-10-05,342.24
50,40,2024-08-16,8026.17
51,41,2025-06-26,773.13
52,42,2024-12-03,6.04
53,42,2025-01-06,13.16
54,42,2025-01-08,66.48
55,43,2025-04-22,2827.57
56,44,2025-02-19,59.69
57,44,2025-02-16,303.3
58,45,2023-10-30,681.23
59,46,2022-07-24,650.25
60,47,2024-01-26,579.42
61,48,2024-01-07,759.25
62,49,2022-04-05,1548.39
63,50,2024-01-26,4612.47
64,51,2024-05-20,230.14
65,52,2024-10-07,14.73
66,52,2024-09-27,242.28
67,54,2023-12-29,839.33
68,55,2024-06-17,239.8
69,56,2023-08-02,119.76
70,56,2023-08-17,897.54
71,56,2023-08-19,240.99
72,57,2024-09-11,28.95
73,57,2024-09-17,50.03
74,57,2024-09-18,166.3
75,58,2021-12-26,1230.99
76,59,2022-04-27,1766.28
