policy_id,period_month,earned_premium
1,2024-01,38.45
1,2024-02,38.45
1,2024-03,38.45
1,2024-04,38.45
1,2024-05,38.45
1,2024-06,38.45
1,2024-07,38.45
1,2024-08,38.45
1,2024-09,38.45
1,2024-10,38.45
1,2024-11,38.45
1,2024-12,38.45
1,2025-01,38.45
1,2025-02,38.45
1,2025-03,38.45
1,2025-04,38.45
1,2025-05,38.45
1,2025-06,38.45
1,2025-07,38.45
1,2025-08,38.45
1,2025-09,38.45
2,2024-08,38.82
2,2024-09,38.82
2,2024-10,38.82
2,2024-11,38.82
2,2024-12,38.82
2,2025-01,38.82
2,2025-02,38.82
2,2025-03,38.82
2,2025-04,38.82
2,2025-05,38.82
2,2025-06,38.82
2,2025-07,38.82
2,2025-08,38.82
2,2025-09,38.82
3,2021-03,34.16
3,2021-04,34.16
3,2021-05,34.16
3,2021-06,34.16
3,2021-07,34.16
3,2021-08,34.16
3,2021-09,34.16
3,2021-10,34.16
3,2021-11,34.16
3,2021-12,34.16
3,2022-01,34.16
3,2022-02,34.16
3,2022-03,34.16
3,2022-04,34.16
3,2022-05,34.16
3,2022-06,34.16
3,2022-07,34.16
3,2022-08,34.16
3,2022-09,34.16
3,2022-10,34.16
3,2022-11,34.16
3,2022-12,34.16
3,2023-01,34.16
4,2022-01,37.14
4,2022-02,37.14
4,2022-03,37.14
4,2022-04,37.14
4,2022-05,37.14
4,2022-06,37.14
4,2022-07,37.14
4,2022-08,37.14
4,2022-09,37.14
4,2022-10,37.14
4,2022-11,37.14
4,2022-12,37.14
4,2023-01,37.14
4,2023-02,37.14
4,2023-03,37.14
4,2023-04,37.14
4,2023-05,37.14
4,2023-06,37.14
4,2023-07,37.14
4,2023-08,37.14
4,2023-09,37.14
4,2023-10,37.14
4,2023-11,37.14
4,2023-12,37.14
4,2024-01,37.14
4,2024-02,37.14
4,2024-03,37.14
4,2024-04,37.14
4,2024-05,37.14
4,2024-06,37.14
4,2024-07,37.14
4,2024-08,37.14
4,2024-09,37.14
4,2024-10,37.14
4,2024-11,37.14
4,2024-12,37.14
4,2025-01,37.14
4,2025-02,37.14
4,2025-03,37.14
4,2025-04,37.14
4,2025-05,37.14
4,2025-06,37.14
4,2025-07,37.14
4,2025-08,37.14
4,2025-09,37.14
5,2020-10,44.34
5,2020-11,44.34
5,2020-12,44.34
5,2021-01,44.34
5,2021-02,44.34
5,2021-03,44.34
5,2021-04,44.34
5,2021-05,44.34
5,2021-06,44.34
5,2021-07,44.34
5,2021-08,44.34
5,2021-09,44.34
5,2021-10,44.34
5,2021-11,44.34
5,2021-12,44.34
5,2022-01,44.34
5,2022-02,44.34
5,2022-03,44.34
5,2022-04,44.34
6,2023-03,38.6
6,2023-04,38.6
6,2023-05,38.6
6,2023-06,38.6
6,2023-07,38.6
6,2023-08,38.6
6,2023-09,38.6
6,2023-10,38.6
6,2023-11,38.6
6,2023-12,38.6
6,2024-01,38.6
6,2024-02,38.6
6,2024-03,38.6
6,2024-04,38.6
6,2024-05,38.6
6,2024-06,38.6
6,2024-07,38.6
6,2024-08,38.6
6,2024-09,38.6
6,2024-10,38.6
6,2024-11,38.6
6,2024-12,38.6
6,2025-01,38.6
6,2025-02,38.6
6,2025-03,38.6
6,2025-04,38.6
6,2025-05,38.6
6,2025-06,38.6
6,2025-07,38.6
6,2025-08,38.6
6,2025-09,38.6
7,2025-01,35.42
7,2025-02,35.42
7,2025-03,35.42
7,2025-04,35.42
7,2025-05,35.42
7,2025-06,35.42
7,2025-07,35.42
7,2025-08,35.42
7,2025-09,35.42
8,2021-04,39.1
8,2021-05,39.1
8,2021-06,39.1
8,2021-07,39.1
8,2021-08,39.1
8,2021-09,39.1
8,2021-10,39.1
8,2021-11,39.1
8,2021-12,39.1
8,2022-01,39.1
8,2022-02,39.1
8,2022-03,39.1
8,2022-04,39.1
8,2022-05,39.1
8,2022-06,39.1
8,2022-07,39.1
8,2022-08,39.1
8,2022-09,39.1
8,2022-10,39.1
8,2022-11,39.1
8,2022-12,39.1
8,2023-01,39.1
8,2023-02,39.1
8,2023-03,39.1
8,2023-04,39.1
8,2023-05,39.1
8,2023-06,39.1
8,2023-07,39.1
8,2023-08,39.1
8,2023-09,39.1
8,2023-10,39.1
8,2023-11,39.1
9,2025-01,34.33
9,2025-02,34.33
9,2025-03,34.33
9,2025-04,34.33
9,2025-05,34.33
9,2025-06,34.33
9,2025-07,34.33
9,2025-08,34.33
9,2025-09,34.33
10,2025-08,47.65
10,2025-09,47.65
11,2023-12,26.75
11,2024-01,26.75
11,2024-02,26.75
11,2024-03,26.75
11,2024-04,26.75
11,2024-05,26.75
11,2024-06,26.75
11,2024-07,26.75
11,2024-08,26.75
11,2024-09,26.75
11,2024-10,26.75
11,2024-11,26.75
11,2024-12,26.75
11,2025-01,26.75
11,2025-02,26.75
11,2025-03,26.75
11,2025-04,26.75
11,2025-05,26.75
11,2025-06,26.75
11,2025-07,26.75
